Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2019,Jake Browning,Washington,QB,74,211,,4.74,,29,112,4.44,7.19
2019,Ryan Finley,North Carolina State,QB,76,213,,4.73,,30.5,116,4.2,7.2
2019,Nick Fitzgerald,Mississippi State,QB,77,226,,4.64,,29.5,115,,
2019,Will Grier,West Virginia,QB,74,217,,4.84,,34,112,4.28,7.09
2019,Dwayne Haskins,Ohio State,QB,75,231,,5.04,,28.5,,,
2019,Tyree Jackson,Buffalo,QB,79,249,,4.59,,34.5,120,4.28,7.09
2019,Daniel Jones,Duke,QB,77,221,,4.81,,33.5,120,4.41,7
2019,Drew Lock,Missouri,QB,76,228,,4.69,,31,112,4.12,7.03
2019,Trace McSorley,Penn State,QB,72,202,,4.57,,33,115,4.12,7.09
2019,Gardner Minshew,Washington State,QB,73,225,,4.97,,33.5,116,4.45,7.14
2019,Kyler Murray,Oklahoma,QB,70,207,,,,,,,
2019,Brett Rypien,Boise State,QB,74,210,,4.91,,33,116,4.29,7.1
2019,Kyle Shurmur,Vanderbilt,QB,76,230,,4.91,,29.5,106,4.53,7.51
2019,Easton Stick,North Dakota State,QB,73,224,,4.62,,33.5,118,4.05,6.65
2019,Jarrett Stidham,Auburn,QB,74,218,,4.81,,31,110,4.33,7.28
2019,Jordan Ta'amu-Perifanos,Mississippi,QB,75,221,,4.77,,27.5,109,4.36,7.06
2019,Clayton Thorson,Northwestern,QB,76,222,,,,,,,
2018,Austin Allen,Arkansas,QB,72,210,,4.81,,29.5,112,4.48,7.18
2018,Josh Allen,Wyoming,QB,77,237,,4.75,,33.5,119,4.4,6.9
2018,J.T. Barrett,Ohio State,QB,73,224,,4.7,,30,108,4.44,7.38
2018,Kurt Benkert,Virginia,QB,75,218,,4.95,16,31,112,4.33,7.15
2018,Sam Darnold,Southern California,QB,75,221,,4.85,,26.5,105,4.4,6.96
2018,Danny Etling,Louisiana State,QB,74,222,,4.76,,30.5,114,4.37,7.09
2018,Luke Falk,Washington State,QB,76,215,,,,26.5,103,,
2018,Riley Ferguson,Memphis,QB,75,212,,4.98,,29,110,4.4,6.96
2018,Quinton Flowers,South Florida,QB,70,214,,4.63,,,112,4.57,6.81
2018,Lamar Jackson,Louisville,QB,74,216,,,,,,,
2018,Kyle Lauletta,Richmond (VA),QB,75,222,,4.81,,31,113,4.07,6.95
2018,Tanner Lee,Nebraska,QB,76,218,,4.98,,32,115,4.41,7
2018,Chase Litton,Marshall (WV),QB,77,230,,4.9,,29.5,106,4.53,7.49
2018,Baker Mayfield,Oklahoma,QB,73,215,,4.84,,29,111,4.28,7
2018,Josh Rosen,UCLA,QB,76,226,,4.92,,31,111,4.28,7.09
2018,Mason Rudolph,Oklahoma State,QB,77,235,,4.9,,26,,,
2018,Nic Shimonek,Texas Tech,QB,75,220,,4.88,,28.5,101,4.32,7.28
2018,Mike White,Western Kentucky,QB,77,224,,5.09,,27,96,4.4,7.4
2018,Logan Woodside,Toledo,QB,73,213,,4.79,,31.5,103,4.15,6.94
2017,C.J. Beathard,Iowa,QB,74.13,219,26,,,31,113,,
2017,Joshua Dobbs,Tennessee,QB,75.25,216,29,4.64,,33,122,4.31,6.75
2017,Jerod Evans,Virginia Tech,QB,74.63,232,21,4.8,,26.5,112,4.41,
2017,Brad Kaaya,Miami (FL),QB,75.75,214,34,,,,,,
2017,Chad Kelly,Mississippi,QB,74,224,22,,,,,4.08,
2017,DeShone Kizer,Notre Dame,QB,76.13,233,28,4.83,,30.5,107,4.53,7.4
2017,Mitch Leidner,Minnesota,QB,75.38,226,,4.93,,34.5,123,4.25,6.96
2017,Sefo Liufau,Colorado,QB,75.38,232,,5.08,,27,105,4.45,7.32
2017,Patrick Mahomes,Texas Tech,QB,74.13,225,24,4.8,,30,114,4.08,6.88
2017,Nathan Peterman,Pittsburgh,QB,74.63,226,33,4.82,,31,110,4.31,7.14
2017,Antonio Pipkin,Tiffin (OH),QB,73,225,,,,,,,
2017,Cooper Rush,Central Michigan,QB,74.63,228,,4.93,,27,105,4.47,7.23
2017,Seth Russell,Baylor,QB,74.88,213,,,,,,,
2017,Alek Torgersen,Pennsylvania,QB,75,230,,,,,,4.31,
2017,Mitchell Trubisky,North Carolina,QB,74.13,222,25,4.67,,27.5,116,4.25,6.87
2017,Deshaun Watson,Clemson,QB,74.13,221,20,4.66,,32.5,119,4.31,6.95
2017,Davis Webb,California,QB,77,229,25,4.79,,33,118,,6.92
2016,Vernon Adams,Oregon,QB,70.88,200,,4.83,,29.5,114,4.2,6.82
2016,Brandon Allen,Arkansas,QB,73.38,217,,4.84,,28,110,4.33,7.06
2016,Trevone Boykin,Texas Christian,QB,72,212,,4.77,,32,110,4.4,
2016,Jacoby Brissett,North Carolina State,QB,75.75,231,,4.94,,31,113,4.53,7.17
2016,Connor Cook,Michigan State,QB,76,217,,4.79,,33,113,4.28,7.21
2016,Brandon Doughty,Western Kentucky,QB,74.75,213,,5.22,,27,103,4.52,7.49
2016,Jeff Driskel,Louisiana Tech,QB,76,234,,4.56,,32,122,4.25,7.19
2016,Jared Goff,California,QB,76,215,36,4.82,,27,110,4.47,7.17
2016,Christian Hackenberg,Penn State,QB,76.38,223,,4.78,,31,114,4.33,7.04
2016,Kevin Hogan,Stanford,QB,75.25,218,,4.78,,32.5,113,4.31,6.9
2016,Cardale Jones,Ohio State,QB,77,253,,4.81,,36,,,
2016,Cody Kessler,Southern California,QB,73.25,220,,4.89,,29.5,104,4,7.32
2016,Paxton Lynch,Memphis,QB,78.63,244,,4.86,,36,118,4.26,7.14
2016,Dak Prescott,Mississippi State,QB,74.25,226,,4.79,,32.5,116,4.32,7.11
2016,Joel Stave,Wisconsin,QB,77.25,236,,4.8,,33.5,115,4.33,7.29
2016,Nate Sudfeld,Indiana,QB,78.13,234,,,,29,105,,
2016,Carson Wentz,North Dakota State,QB,77.25,237,29,4.77,,30.5,118,4.15,6.86
2016,Josh Woodrum,Liberty (VA),QB,74,231,,4.8,,31,116,4.31,6.74
2015,Bryan Bennett,Southeastern Louisiana,QB,74.25,211,,4.81,,37,125,4.2,7.13
2015,Chris Bonner,Colorado State-Pueblo,QB,78,237,,5.12,,,,,
2015,Anthony Boone,Duke,QB,72.25,231,20,5.03,,26.5,100,4.62,7.47
2015,Brandon Bridge,South Alabama,QB,76.38,229,,4.72,,33,110,4.37,7.18
2015,Terrance Broadway,Louisiana-Lafayette,QB,73,223,,4.62,,,,,
2015,Shane Carden,East Carolina (NC),QB,73.88,218,25,4.94,,29.5,104,4.45,7.17
2015,Rakeem Cato,Marshall (WV),QB,71,171,,4.7,,,,,
2015,Quinn Epperly,Princeton,QB,73,218,,4.89,,,,,
2015,Cody Fajardo,Nevada,QB,73.5,223,31,4.63,,32.5,118,4.1,6.95
2015,Garrett Grayson,Colorado State,QB,74.5,213,20,4.84,,,,,
2015,Connor Halliday,Washington State,QB,75,196,31,4.87,,,,,
2015,Grant Hedrick,Boise State,QB,73,191,,4.76,,,,,
2015,Taylor Heinicke,Old Dominion (VA),QB,73,211,,4.76,,,,,
2015,Brett Hundley,UCLA,QB,75.25,226,26,4.63,,36,120,3.98,6.93
2015,Matt Joeckel,Texas Christian,QB,76,237,,4.95,,,,,
2015,Taylor Kelly,Arizona State,QB,74,198,,4.84,,,,,
2015,Jerry Lovelocke,Prairie View A&M,QB,76.5,248,,4.99,,31.5,113,4.51,7.3
2015,Andrew Manley,Eastern Illinois,QB,75,225,,4.9,,,,,
2015,Sean Mannion,Oregon State,QB,77.63,229,40,5.14,,31,105,4.39,7.29
